study,stim,target_user,qlabel,targ_agg,s2m,targ_agg2
1,followers,10,outgoing,3.6,0,3.6
1,followers,10,relaxed,3.4,0,3.4
1,followers,10,relaxed_r,2.6,0,2.6
1,followers,10,reserved,2.8,0,2.8
1,followers,10,reserved_r,3.2,0,3.2
1,followers,10,selfesteem,3.1,0,3.1
1,followers,10,ses,6.2,0,6.2
1,followers,10,thorough,3.2,0,3.2
1,followers,10,trusting,3.3,0,3.3
1,followers,10,trustworthy,3.4,0,3.4
1,followers,11,actimag,3.25,0,3.25
1,followers,11,age,19.875,0,19.875
1,followers,11,agr,3.8125,0,3.8125
1,followers,11,arrogant,4,0,4
1,followers,11,assertive,3.625,0,3.625
1,followers,11,attractive,3.125,0,3.125
1,followers,11,centerattn,3.875,0,3.875
1,followers,11,cold,2.375,0,2.375
1,followers,11,cold_r,3.625,0,3.625
1,followers,11,con,2.8125,0,2.8125
1,followers,11,ext,3.875,0,3.875
1,followers,11,fewartint,3,0,3
1,followers,11,fewartint_r,3,0,3
1,followers,11,funny,3.25,0,3.25
1,followers,11,ilike,2.75,0,2.75
1,followers,11,impulsive,3.5,0,3.5
1,followers,11,intelligent,2.75,0,2.75
1,followers,11,lazy,3,0,3
1,followers,11,lazy_r,3,0,3
1,followers,11,nervous,2.375,0,2.375
1,followers,11,neu,2.625,0,2.625
1,followers,11,ope,3.125,0,3.125
1,followers,11,outgoing,4.125,0,4.125
1,followers,11,relaxed,3.125,0,3.125
1,followers,11,relaxed_r,2.875,0,2.875
1,followers,11,reserved,1.75,0,1.75
1,followers,11,reserved_r,4.25,0,4.25
1,followers,11,selfesteem,3.625,0,3.625
1,followers,11,ses,5,0,5
1,followers,11,thorough,2.625,0,2.625
1,followers,11,trusting,3.375,0,3.375
1,followers,11,trustworthy,2.625,0,2.625
1,followers,12,actimag,3.7,0,3.7
1,followers,12,age,17.9,0,17.9
1,followers,12,agr,3.7,0,3.7
1,followers,12,arrogant,2.7,0,2.7
1,followers,12,assertive,2.9,0,2.9
1,followers,12,attractive,3.3,0,3.3
1,followers,12,centerattn,4.1,0,4.1
1,followers,12,cold,2.3,0,2.3
1,followers,12,cold_r,3.7,0,3.7
1,followers,12,con,2.8,0,2.8
1,followers,12,ext,4.05,0,4.05
1,followers,12,fewartint,2.8,0,2.8
1,followers,12,fewartint_r,3.2,0,3.2
1,followers,12,funny,3.8,0,3.8
1,followers,12,ilike,3.1,0,3.1
1,followers,12,impulsive,3.4,0,3.4
1,followers,12,intelligent,3.1,0,3.1
1,followers,12,lazy,3.4,0,3.4
1,followers,12,lazy_r,2.6,0,2.6
1,followers,12,nervous,3,0,3
1,followers,12,neu,3.05,0,3.05
1,followers,12,ope,3.45,0,3.45
1,followers,12,outgoing,4.4,0,4.4
1,followers,12,relaxed,2.9,0,2.9
1,followers,12,relaxed_r,3.1,0,3.1
1,followers,12,reserved,2.3,0,2.3
1,followers,12,reserved_r,3.7,0,3.7
1,followers,12,selfesteem,3.3,0,3.3
1,followers,12,ses,6.1,0,6.1
1,followers,12,thorough,3,0,3
1,followers,12,trusting,3.7,0,3.7
1,followers,12,trustworthy,3.4,0,3.4
1,followers,13,actimag,3.5,0,3.5
1,followers,13,age,20.1,0,20.1
1,followers,13,agr,3.35,0,3.35
1,followers,13,arrogant,2.8,0,2.8
1,followers,13,assertive,2.7,0,2.7
1,followers,13,attractive,3.1,0,3.1
1,followers,13,centerattn,3,0,3
1,followers,13,cold,2.6,0,2.6
1,followers,13,cold_r,3.4,0,3.4
1,followers,13,con,3,0,3
1,followers,13,ext,3.65,0,3.65
1,followers,13,fewartint,2.7,0,2.7
1,followers,13,fewartint_r,3.3,0,3.3
1,followers,13,funny,3.7,0,3.7
1,followers,13,ilike,3.2,0,3.2
